"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017",
"Antigua and Barbuda","ATG","Maternal mortality ratio (modeled estimate, per 100,000 live births)","SH.STA.MMRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Australia","AUS","Maternal mortality ratio (modeled estimate, per 100,000 live births)","SH.STA.MMRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8","8","8","8","8","8","8","9","8","9","9","8","8","8","7","7","7","7","7","7","6","7","6","6","6","6","","",
"Austria","AUT","Maternal mortality ratio (modeled estimate, per 100,000 live births)","SH.STA.MMRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8","8","8","7","7","6","6","5","5","5","5","5","5","5","4","5","4","4","4","4","4","4","4","4","4","4","","",
"Azerbaijan","AZE","Maternal mortality ratio (modeled estimate, per 100,000 live births)","SH.STA.MMRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","64","65","83","82","92","86","77","73","66","61","48","43","38","38","32","34","30","29","28","27","27","26","25","25","26","25","","",
"Burundi","BDI","Maternal mortality ratio (modeled estimate, per 100,000 live births)","SH.STA.MMRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1220","1250","1270","1260","1250","1210","1160","1100","1040","985","954","919","898","883","873","863","856","849","838","824","808","796","780","760","737","712","","",
"Belgium","BEL","Maternal mortality ratio (modeled estimate, per 100,000 live births)","SH.STA.MMRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9","9","9","9","9","10","10","9","9","9","9","9","8","8","8","8","8","8","8","8","8","8","7","7","7","7","","",
"Benin","BEN","Maternal mortality ratio (modeled estimate, per 100,000 live births)","SH.STA.MMRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","576","553","540","537","541","550","561","571","577","576","572","561","549","538","523","502","494","481","469","457","446","436","429","422","414","405","","",
"Burkina Faso","BFA","Maternal mortality ratio (modeled estimate, per 100,000 live births)","SH.STA.MMRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","727","709","693","674","655","636","620","601","581","565","547","530","516","500","482","468","457","447","436","428","417","408","398","389","379","371","","",
"Bangladesh","BGD","Maternal mortality ratio (modeled estimate, per 100,000 live births)","SH.STA.MMRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","569","550","531","511","495","479","462","446","432","415","399","384","365","349","333","319","303","288","273","258","242","228","214","201","188","176","","",
"Bulgaria","BGR","Maternal mortality ratio (modeled estimate, per 100,000 live births)","SH.STA.MMRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","25","23","25","23","25","24","24","26","23","23","21","20","18","17","16","15","14","13","12","11","11","11","10","11","11","11","","",
"Bahrain","BHR","Maternal mortality ratio (modeled estimate, per 100,000 live births)","SH.STA.MMRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","26","25","25","23","22","22","22","22","22","22","21","21","21","20","20","20","19","18","17","17","16","16","16","15","15","15","","",
"Bahamas, The","BHS","Maternal mortality ratio (modeled estimate, per 100,000 live births)","SH.STA.MMRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","46","46","45","45","47","49","52","54","55","58","61","64","67","71","71","74","78","78","82","80","85","86","82","81","83","80","","",
"Bosnia and Herzegovina","BIH","Maternal mortality ratio (modeled estimate, per 100,000 live births)","SH.STA.MMRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","28","29","28","26","24","22","21","21","19","18","17","16","15","15","15","14","14","14","13","14","13","12","12","12","12","11","","",
"Belarus","BLR","Maternal mortality ratio (modeled estimate, per 100,000 live births)","SH.STA.MMRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","33","32","32","33","33","33","32","31","30","30","26","23","22","19","16","13","10","8","7","6","5","5","4","4","4","4","","",
"Belize","BLZ","Maternal mortality ratio (modeled estimate, per 100,000 live births)","SH.STA.MMRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","54","54","55","54","55","55","53","53","51","52","53","53","53","50","50","52","50","46","36","39","37","33","32","29","28","28","","",
"Bermuda","BMU","Maternal mortality ratio (modeled estimate, per 100,000 live births)","SH.STA.MMRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bolivia","BOL","Maternal mortality ratio (modeled estimate, per 100,000 live births)","SH.STA.MMRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","425","422","417","409","401","390","375","362","350","342","334","329","323","317","312","305","298","288","277","266","253","241","230","222","215","206","","",
"Brazil","BRA","Maternal mortality ratio (modeled estimate, per 100,000 live births)","SH.STA.MMRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","104","100","95","93","88","84","86","90","94","81","66","61","62","63","66","67","68","67","66","65","65","59","60","48","46","44","","",
"Barbados","BRB","Maternal mortality ratio (modeled estimate, per 100,000 live births)","SH.STA.MMRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","58","52","52","52","56","49","44","45","47","50","48","46","46","46","47","40","36","38","36","34","33","31","29","28","28","27","","",
"Brunei Darussalam","BRN","Maternal mortality ratio (modeled estimate, per 100,000 live births)","SH.STA.MMRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35","31","32","33","34","33","34","34","33","33","31","31","30","32","32","30","28","26","27","26","27","29","25","24","23","23","","",
"Bhutan","BTN","Maternal mortality ratio (modeled estimate, per 100,000 live births)","SH.STA.MMRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","945","877","813","749","690","636","579","530","488","454","423","397","373","353","331","308","285","263","242","221","204","190","177","166","156","148","","",
"Botswana","BWA","Maternal mortality ratio (modeled estimate, per 100,000 live births)","SH.STA.MMRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","243","233","227","226","230","238","253","270","289","307","311","328","338","334","311","276","239","215","208","188","169","159","153","139","134","129","","",
"Central African Republic","CAF","Maternal mortality ratio (modeled estimate, per 100,000 live births)","SH.STA.MMRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1290","1310","1320","1320","1320","1300","1290","1280","1260","1230","1200","1190","1170","1150","1110","1060","1020","992","963","941","909","888","876","873","872","882","","",
"Canada","CAN","Maternal mortality ratio (modeled estimate, per 100,000 live births)","SH.STA.MMRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7","8","8","8","8","9","9","9","9","9","9","9","9","9","9","9","9","9","9","8","8","8","8","7","7","7","","",
"Central Europe and the Baltics","CEB","Maternal mortality ratio (modeled estimate, per 100,000 live births)","SH.STA.MMRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","41","37","34","32","30","28","26","25","23","22","20","18","17","16","15","14","13","12","12","12","11","11","11","11","11","11","","",
"Switzerland","CHE","Maternal mortality ratio (modeled estimate, per 100,000 live births)","SH.STA.MMRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8","8","8","8","8","8","8","7","7","7","7","7","7","6","6","7","6","6","6","6","6","6","6","5","5","5","","",
"Channel Islands","CHI","Maternal mortality ratio (modeled estimate, per 100,000 live births)","SH.STA.MMRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Maternal mortality ratio (modeled estimate, per 100,000 live births)","SH.STA.MMRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","57","52","48","45","43","41","39","36","34","34","31","32","29","29","29","27","28","29","28","27","26","25","24","23","23","22","","",
"China","CHN","Maternal mortality ratio (modeled estimate, per 100,000 live births)","SH.STA.MMRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","97","92","87","82","77","72","68","64","62","60","58","56","54","52","50","48","45","43","40","38","35","33","31","29","28","27","","",
"Cote d'Ivoire","CIV","Maternal mortality ratio (modeled estimate, per 100,000 live births)","SH.STA.MMRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","745","741","741","753","741","711","686","674","678","674","671","678","683","700","725","742","745","745","745","732","717","715","715","688","665","645","","",
"Cameroon","CMR","Maternal mortality ratio (modeled estimate, per 100,000 live births)","SH.STA.MMRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","728","732","740","743","749","749","753","751","749","750","750","751","742","732","723","729","725","710","707","696","676","652","632","619","609","596","","",
"Congo, Dem. Rep.","COD","Maternal mortality ratio (modeled estimate, per 100,000 live births)","SH.STA.MMRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","879","881","883","890","904","914","920","919","915","902","874","853","830","808","793","787","789","803","792","793","794","777","771","746","717","693","","",
"Congo, Rep.","COG","Maternal mortality ratio (modeled estimate, per 100,000 live births)","SH.STA.MMRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","603","608","612","615","627","634","646","653","651","657","653","657","655","641","622","596","575","555","537","525","509","494","483","469","452","442","","",
"Colombia","COL","Maternal mortality ratio (modeled estimate, per 100,000 live births)","SH.STA.MMRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","118","120","118","114","109","105","103","98","99","98","97","95","93","89","83","80","77","75","73","73","72","69","66","67","66","64","","",
"Comoros","COM","Maternal mortality ratio (modeled estimate, per 100,000 live births)","SH.STA.MMRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","635","619","606","592","576","563","549","533","521","509","499","484","471","458","447","436","426","415","407","396","388","376","365","354","344","335","","",
"Cabo Verde","CPV","Maternal mortality ratio (modeled estimate, per 100,000 live births)","SH.STA.MMRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","256","233","212","193","170","150","134","119","104","94","83","75","68","61","56","54","60","60","57","54","51","50","48","46","44","42","","",
"Costa Rica","CRI","Maternal mortality ratio (modeled estimate, per 100,000 live births)","SH.STA.MMRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","43","45","43","41","43","44","44","42","39","40","38","36","37","36","32","31","33","29","30","32","29","28","27","26","26","25","","",
"Caribbean small states","CSS","Maternal mortality ratio (modeled estimate, per 100,000 live births)","SH.STA.MMRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","94","93","94","95","100","102","105","106","107","109","111","111","111","110","110","110","107","106","101","97","104","102","101","101","100","99","","",
"Cuba","CUB","Maternal mortality ratio (modeled estimate, per 100,000 live births)","SH.STA.MMRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","58","59","60","58","57","55","52","49","49","44","43","41","39","39","40","41","38","40","42","43","44","43","41","41","40","39","","",
"Curacao","CUW","Maternal mortality ratio (modeled estimate, per 100,000 live births)","SH.STA.MMRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cayman Islands","CYM","Maternal mortality ratio (modeled estimate, per 100,000 live births)","SH.STA.MMRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cyprus","CYP","Maternal mortality ratio (modeled estimate, per 100,000 live births)","SH.STA.MMRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16","15","17","14","17","17","13","14","14","14","15","9","10","9","9","12","9","8","8","8","8","7","7","7","7","7","","",
"Czech Republic","CZE","Maternal mortality ratio (modeled estimate, per 100,000 live births)","SH.STA.MMRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14","14","13","12","11","10","9","9","7","7","7","7","7","6","6","6","6","5","5","5","5","5","4","4","4","4","","",
"Germany","DEU","Maternal mortality ratio (modeled estimate, per 100,000 live births)","SH.STA.MMRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11","11","10","10","9","9","9","9","8","8","8","8","8","8","7","7","7","7","7","7","7","7","7","6","6","6","","",
"Djibouti","DJI","Maternal mortality ratio (modeled estimate, per 100,000 live births)","SH.STA.MMRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","517","499","477","466","459","452","445","429","420","410","401","396","382","371","357","341","330","321","309","290","275","266","257","243","237","229","","",
"Dominica","DMA","Maternal mortality ratio (modeled estimate, per 100,000 live births)","SH.STA.MMRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Denmark","DNK","Maternal mortality ratio (modeled estimate, per 100,000 live births)","SH.STA.MMRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11","11","11","11","11","11","11","11","9","10","9","9","9","9","9","8","8","8","8","8","7","8","7","7","7","6","","",
"Dominican Republic","DOM","Maternal mortality ratio (modeled estimate, per 100,000 live births)","SH.STA.MMRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","198","209","194","196","181","198","190","186","171","96","79","75","66","69","77","64","110","81","85","105","75","115","62","106","98","92","","",
"Algeria","DZA","Maternal mortality ratio (modeled estimate, per 100,000 live births)","SH.STA.MMRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","216","210","205","201","196","192","189","184","179","174","170","164","158","153","150","148","147","148","148","148","147","147","145","144","141","140","","",
"East Asia & Pacific (excluding high income)","EAP","Maternal mortality ratio (modeled estimate, per 100,000 live births)","SH.STA.MMRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","168","160","154","148","142","137","133","130","127","123","120","117","113","108","104","100","95","91","86","83","79","75","71","68","65","63","","",
"Early-demographic dividend","EAR","Maternal mortality ratio (modeled estimate, per 100,000 live births)","SH.STA.MMRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","456","442","428","415","401","388","375","362","349","335","321","308","294","280","267","253","240","228","217","207","197","188","180","172","165","159","","",
"East Asia & Pacific","EAS","Maternal mortality ratio (modeled estimate, per 100,000 live births)","SH.STA.MMRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","159","151","146","140","133","129","125","122","119","116","113","110","106","102","98","94","89","85","81","78","74","71","67","64","62","59","","",
"Europe & Central Asia (excluding high income)","ECA","Maternal mortality ratio (modeled estimate, per 100,000 live births)","SH.STA.MMRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","70","68","69","73","74","71","67","62","59","58","56","54","52","50","46","44","39","36","33","31","29","28","26","26","25","25","","",
"Europe & Central Asia","ECS","Maternal mortality ratio (modeled estimate, per 100,000 live births)","SH.STA.MMRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","44","43","43","45","45","43","40","37","35","34","33","32","31","30","28","27","24","22","21","20","19","18","17","17","17","16","","",
"Ecuador","ECU","Maternal mortality ratio (modeled estimate, per 100,000 live births)","SH.STA.MMRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","185","181","172","164","147","131","124","110","116","111","103","98","91","81","75","74","71","68","68","72","75","78","74","70","66","64","","",
"Egypt, Arab Rep.","EGY","Maternal mortality ratio (modeled estimate, per 100,000 live births)","SH.STA.MMRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","106","102","98","93","88","83","78","74","70","66","63","60","58","56","54","52","50","47","45","43","40","39","37","35","34","33","","",
"Euro area","EMU","Maternal mortality ratio (modeled estimate, per 100,000 live births)","SH.STA.MMRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11","11","11","11","11","11","10","9","9","9","9","9","8","8","8","8","7","7","7","7","7","7","7","7","6","6","","",
"Eritrea","ERI","Maternal mortality ratio (modeled estimate, per 100,000 live births)","SH.STA.MMRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1590","1520","1430","1320","1210","1100","977","900","829","770","733","700","669","647","627","619","615","619","614","599","579","561","540","533","524","501","","",
"Spain","ESP","Maternal mortality ratio (modeled estimate, per 100,000 live births)","SH.STA.MMRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","6","6","6","6","6","6","5","5","5","5","5","5","6","5","5","5","5","5","5","5","5","5","5","5","5","","",
"Estonia","EST","Maternal mortality ratio (modeled estimate, per 100,000 live births)","SH.STA.MMRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","42","42","39","45","57","43","33","29","29","26","26","24","22","19","17","15","13","13","11","11","8","10","9","9","9","9","","",
"Ethiopia","ETH","Maternal mortality ratio (modeled estimate, per 100,000 live births)","SH.STA.MMRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1250","1230","1210","1180","1130","1080","1040","998","959","927","897","871","846","814","780","743","698","654","608","566","523","482","447","410","378","353","","",
"European Union","EUU","Maternal mortality ratio (modeled estimate, per 100,000 live births)","SH.STA.MMRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18","17","16","15","15","14","13","13","12","12","11","11","10","10","9","9","9","9","9","8","8","8","8","8","8","8","","",
"Fragile and conflict affected situations","FCS","Maternal mortality ratio (modeled estimate, per 100,000 live births)","SH.STA.MMRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","796","787","781","776","766","753","740","724","711","697","682","667","650","633","617","601","589","578","562","550","538","524","514","500","487","475","","",
"Finland","FIN","Maternal mortality ratio (modeled estimate, per 100,000 live births)","SH.STA.MMRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","6","6","5","5","5","5","5","5","5","5","4","4","4","4","4","4","4","3","3","3","3","3","3","3","3","","",
"Fiji","FJI","Maternal mortality ratio (modeled estimate, per 100,000 live births)","SH.STA.MMRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","63","61","59","57","54","51","49","47","45","43","42","41","40","40","39","39","39","37","36","35","34","33","33","32","31","30","","",
"France","FRA","Maternal mortality ratio (modeled estimate, per 100,000 live births)","SH.STA.MMRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15","15","15","15","14","15","14","13","13","12","12","12","11","11","10","10","10","10","10","10","9","9","9","9","9","8","","",
"Faroe Islands","FRO","Maternal mortality ratio (modeled estimate, per 100,000 live births)","SH.STA.MMRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Micronesia, Fed. Sts.","FSM","Maternal mortality ratio (modeled estimate, per 100,000 live births)","SH.STA.MMRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","183","179","175","173","169","166","164","161","159","156","153","150","148","143","139","134","130","126","122","118","115","110","107","104","102","100","","",
"Gabon","GAB","Maternal mortality ratio (modeled estimate, per 100,000 live births)","SH.STA.MMRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","422","418","411","408","408","405","403","397","401","402","405","402","399","389","372","370","367","350","335","327","322","317","314","308","295","291","","",
"United Kingdom","GBR","Maternal mortality ratio (modeled estimate, per 100,000 live births)","SH.STA.MMRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10","10","10","11","11","11","11","11","11","11","12","12","12","12","12","12","11","11","11","10","10","10","10","9","9","9","","",
"Georgia","GEO","Maternal mortality ratio (modeled estimate, per 100,000 live births)","SH.STA.MMRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","34","31","30","27","34","35","36","37","37","37","37","36","37","37","37","37","37","38","37","39","40","39","39","38","37","36","","",
"Ghana","GHA","Maternal mortality ratio (modeled estimate, per 100,000 live births)","SH.STA.MMRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","634","600","569","551","535","532","527","515","501","487","467","449","437","420","396","376","358","345","337","330","325","320","324","321","322","319","","",
"Gibraltar","GIB","Maternal mortality ratio (modeled estimate, per 100,000 live births)","SH.STA.MMRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Guinea","GIN","Maternal mortality ratio (modeled estimate, per 100,000 live births)","SH.STA.MMRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1040","1010","982","973","967","964","972","975","977","979","976","973","961","928","882","831","791","770","743","731","720","711","695","695","688","679","","",
"Gambia, The","GMB","Maternal mortality ratio (modeled estimate, per 100,000 live births)","SH.STA.MMRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1030","1030","1020","1010","994","977","961","943","931","910","887","869","854","841","822","807","798","789","774","767","753","753","741","730","719","706","","",
"Guinea-Bissau","GNB","Maternal mortality ratio (modeled estimate, per 100,000 live births)","SH.STA.MMRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","907","877","848","825","799","780","777","776","782","788","800","799","793","775","745","714","679","643","614","587","570","563","553","554","553","549","","",
"Equatorial Guinea","GNQ","Maternal mortality ratio (modeled estimate, per 100,000 live births)","SH.STA.MMRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1310","1290","1260","1230","1170","1050","949","876","818","751","702","659","611","564","523","483","450","426","408","391","379","364","361","356","351","342","","",
"Greece","GRC","Maternal mortality ratio (modeled estimate, per 100,000 live births)","SH.STA.MMRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","5","5","4","4","4","4","4","4","4","4","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","","",
"Grenada","GRD","Maternal mortality ratio (modeled estimate, per 100,000 live births)","SH.STA.MMRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","41","38","38","39","38","37","33","30","29","29","29","29","28","27","26","25","25","25","25","26","27","27","27","27","27","27","","",
"Greenland","GRL","Maternal mortality ratio (modeled estimate, per 100,000 live births)","SH.STA.MMRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Guatemala","GTM","Maternal mortality ratio (modeled estimate, per 100,000 live births)","SH.STA.MMRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","205","198","191","184","178","173","170","171","175","179","178","170","157","146","139","120","120","118","117","115","109","103","105","99","93","88","","",
"Guam","GUM","Maternal mortality ratio (modeled estimate, per 100,000 live births)","SH.STA.MMRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Guyana","GUY","Maternal mortality ratio (modeled estimate, per 100,000 live births)","SH.STA.MMRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","171","170","171","173","190","205","216","219","214","213","210","211","208","208","220","232","226","217","200","176","241","239","239","236","233","229","","",
"High income","HIC","Maternal mortality ratio (modeled estimate, per 100,000 live births)","SH.STA.MMRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18","18","18","17","17","16","16","16","15","15","15","15","15","15","14","14","14","14","14","14","14","13","13","13","13","13","","",
"Hong Kong SAR, China","HKG","Maternal mortality ratio (modeled estimate, per 100,000 live births)","SH.STA.MMRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Honduras","HND","Maternal mortality ratio (modeled estimate, per 100,000 live births)","SH.STA.MMRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","272","251","229","207","186","166","151","141","134","132","133","134","136","141","148","150","153","154","157","157","155","149","141","135","132","129","","",
"Heavily indebted poor countries (HIPC)","HPC","Maternal mortality ratio (modeled estimate, per 100,000 live births)","SH.STA.MMRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","957","946","940","931","916","897","881","860","840","820","799","778","754","729","702","676","654","634","611","593","574","553","537","517","499","482","","",
"Croatia","HRV","Maternal mortality ratio (modeled estimate, per 100,000 live births)","SH.STA.MMRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10","12","11","11","12","12","14","12","12","11","11","10","11","11","11","11","11","11","11","10","10","10","9","9","9","8","","",
"Haiti","HTI","Maternal mortality ratio (modeled estimate, per 100,000 live births)","SH.STA.MMRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","625","594","572","559","551","544","540","529","518","516","505","492","482","479","472","459","452","442","424","408","389","369","372","370","367","359","","",
"Hungary","HUN","Maternal mortality ratio (modeled estimate, per 100,000 live births)","SH.STA.MMRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","24","23","23","24","21","20","18","17","16","16","15","14","14","14","13","14","14","16","15","16","15","16","16","16","16","17","","",
"IBRD only","IBD","Maternal mortality ratio (modeled estimate, per 100,000 live births)","SH.STA.MMRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","269","262","257","251","246","241","235","228","221","213","203","194","185","176","167","159","150","142","135","129","123","118","113","108","104","100","","",
"IDA & IBRD total","IBT","Maternal mortality ratio (modeled estimate, per 100,000 live births)","SH.STA.MMRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","424","419","416","414","411","407","403","398","392","385","375","366","354","342","329","316","304","295","283","278","270","260","254","247","242","236","","",
