Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017]
"Population, total",SP.POP.TOTL,"Gambia, The",GMB,916808,1231844,1588572,1639560,1692149,1746363,1802125,1859324,1917852,1977590,2038501,2100568
"Population, total",SP.POP.TOTL,Georgia,GEO,4802000,4418300,4030000,3978000,3926000,3875000,3825000,3776000,3727000,3717100,3719300,3717100
"Population, total",SP.POP.TOTL,Germany,DEU,79433029,82211508,82110097,81902307,81776930,80274983,80425823,80645605,80982500,81686611,82348669,82695000
"Population, total",SP.POP.TOTL,Ghana,GHA,14628260,18938762,23298640,23903831,24512104,25121796,25733049,26346251,26962563,27582821,28206728,28833629
"Population, total",SP.POP.TOTL,Gibraltar,GIB,29164,31180,32732,32956,33189,33405,33623,33831,34038,34228,34408,34571
"Population, total",SP.POP.TOTL,Greece,GRC,10196792,10805808,11077841,11107017,11121341,11104899,11045011,10965211,10892413,10820883,10775971,10760421
"Population, total",SP.POP.TOTL,Greenland,GRL,55600,56200,56328,56323,56905,56890,56810,56483,56295,56114,56186,56171
"Population, total",SP.POP.TOTL,Grenada,GRD,96283,101619,103930,104296,104677,105075,105481,105909,106360,106823,107317,107825
"Population, total",SP.POP.TOTL,Guam,GUM,130482,155329,159035,159231,159444,159678,159973,160375,160967,161797,162896,164229
"Population, total",SP.POP.TOTL,Guatemala,GTM,9263813,11650743,14006366,14316208,14630417,14948919,15271056,15596214,15923559,16252429,16582469,16913503
"Population, total",SP.POP.TOTL,Guinea,GIN,6041094,8808546,10323142,10556524,10794170,11035170,11281469,11536615,11805509,12091533,12395924,12717176
"Population, total",SP.POP.TOTL,Guinea-Bissau,GNB,1012280,1243229,1480841,1517448,1555880,1596154,1638139,1681495,1725744,1770526,1815698,1861283
"Population, total",SP.POP.TOTL,Guyana,GUY,743309,753301,746314,745693,746556,749100,753091,758081,763393,768514,773303,777859
"Population, total",SP.POP.TOTL,Haiti,HTI,7099732,8549200,9705029,9852870,9999617,10145054,10289210,10431776,10572466,10711061,10847334,10981229
"Population, total",SP.POP.TOTL,Honduras,HND,4955328,6524283,7872658,8035021,8194778,8351600,8505646,8657785,8809216,8960829,9112867,9265067
"Population, total",SP.POP.TOTL,"Hong Kong SAR, China",HKG,5704500,6665000,6957800,6972800,7024200,7071600,7150100,7178900,7229500,7291300,7336600,7391700
"Population, total",SP.POP.TOTL,Hungary,HUN,10373988,10210971,10038188,10022650,10000023,9971727,9920362,9893082,9866468,9843028,9814023,9781127
"Population, total",SP.POP.TOTL,Iceland,ISL,254826,281205,317414,318499,318041,319014,320716,323764,327386,330815,335439,341284
"Population, total",SP.POP.TOTL,India,IND,870133480,1053050912,1197146906,1214270132,1230980691,1247236029,1263065852,1278562207,1293859294,1309053980,1324171354,1339180127
"Population, total",SP.POP.TOTL,Indonesia,IDN,181436821,211540429,236159276,239340478,242524123,245707511,248883232,252032263,255131116,258162113,261115456,263991379
"Population, total",SP.POP.TOTL,"Iran, Islamic Rep.",IRN,56226185,66131854,72845542,73687565,74567511,75491582,76453574,77435384,78411092,79360487,80277428,81162788
"Population, total",SP.POP.TOTL,Iraq,IRQ,17469005,23565413,29111417,29894652,30762701,31727053,32776571,33883145,35006080,36115649,37202572,38274618
"Population, total",SP.POP.TOTL,Ireland,IRL,3513974,3805174,4489544,4535375,4560155,4580084,4599533,4623816,4657740,4701957,4755335,4813608
"Population, total",SP.POP.TOTL,Isle of Man,IMN,68429,72554,78534,79325,80072,80759,81406,82013,82590,83167,83737,84287
"Population, total",SP.POP.TOTL,Israel,ISR,4660000,6289000,7308800,7485600,7623600,7765800,7910500,8059500,8215700,8380100,8546000,8712400
"Population, total",SP.POP.TOTL,Italy,ITA,56719240,56942108,58826731,59095365,59277417,59379449,59539717,60233948,60789140,60730582,60627498,60551416
"Population, total",SP.POP.TOTL,Jamaica,JAM,2424242,2656864,2790122,2804082,2817210,2829493,2840992,2851807,2862087,2871934,2881355,2890299
"Population, total",SP.POP.TOTL,Japan,JPN,123537000,126843000,128063000,128047000,128070000,127833000,127629000,127445000,127276000,127141000,126994511,126785797
"Population, total",SP.POP.TOTL,Jordan,JOR,3560582,5103130,6489822,6821116,7182390,7574943,7992573,8413464,8809306,9159302,9455802,9702353
"Population, total",SP.POP.TOTL,Kazakhstan,KAZ,16348000,14883626,15674000,16092822,16321872,16557201,16792089,17035550,17288285,17542806,17794055,18037646
"Population, total",SP.POP.TOTL,Kenya,KEN,23402507,31450483,39148416,40237204,41350152,42486839,43646629,44826849,46024250,47236259,48461567,49699862
"Population, total",SP.POP.TOTL,Kiribati,KIR,72412,84406,98440,100568,102652,104656,106613,108535,110458,112407,114395,116398
"Population, total",SP.POP.TOTL,"Korea, Dem. People’s Rep.",PRK,20293054,22929075,24335146,24463021,24591599,24722298,24854034,24985976,25116363,25243917,25368620,25490965
"Population, total",SP.POP.TOTL,"Korea, Rep.",KOR,42869283,47008111,49054708,49307835,49554112,49936638,50199853,50428893,50746659,51014947,51245707,51466201
"Population, total",SP.POP.TOTL,Kosovo,XKX,1862000,1700000,1747383,1761474,1775680,1791000,1805200,1824100,1821800,1801800,1816200,1830700
"Population, total",SP.POP.TOTL,Kuwait,KWT,2099615,2050741,2652340,2818939,2998083,3191051,3395556,3598385,3782450,3935794,4052584,4136528
"Population, total",SP.POP.TOTL,Kyrgyz Republic,KGZ,4391200,4898400,5318700,5383300,5447900,5514600,5607200,5719600,5835500,5956900,6079500,6201500
"Population, total",SP.POP.TOTL,Lao PDR,LAO,4258472,5329304,6052190,6152036,6246274,6333487,6415169,6494557,6576397,6663967,6758353,6858160
"Population, total",SP.POP.TOTL,Latvia,LVA,2663151,2367550,2177322,2141669,2097555,2059709,2034319,2012647,1993782,1977527,1959537,1940740
"Population, total",SP.POP.TOTL,Lebanon,LBN,2703016,3235366,4111047,4183156,4337141,4588368,4916404,5276102,5603279,5851479,6006668,6082357
"Population, total",SP.POP.TOTL,Lesotho,LSO,1603938,1868699,1999930,2019209,2040551,2064166,2089928,2117361,2145785,2174645,2203821,2233339
"Population, total",SP.POP.TOTL,Liberia,LBR,2097232,2884522,3662993,3811528,3948125,4070167,4181563,4286291,4390737,4499621,4613823,4731906
"Population, total",SP.POP.TOTL,Libya,LBY,4436661,5355751,6053078,6121053,6169140,6193501,6198258,6195970,6204108,6234955,6293253,6374616
"Population, total",SP.POP.TOTL,Liechtenstein,LIE,28747,33286,35541,35766,36003,36264,36545,36834,37127,37403,37666,37922
"Population, total",SP.POP.TOTL,Lithuania,LTU,3697838,3499536,3198231,3162916,3097282,3028115,2987773,2957689,2932367,2904910,2868231,2827721
"Population, total",SP.POP.TOTL,Luxembourg,LUX,381850,436300,488650,497783,506953,518347,530946,543360,556319,569604,582014,599449
"Population, total",SP.POP.TOTL,"Macao SAR, China",MAC,343935,427979,514348,525313,536969,549439,562531,575841,588781,600942,612167,622567
"Population, total",SP.POP.TOTL,"Macedonia, FYR",MKD,1996228,2034819,2067378,2069093,2070739,2072383,2074036,2075739,2077495,2079308,2081206,2083160
"Population, total",SP.POP.TOTL,Madagascar,MDG,11598633,15766806,19996469,20569121,21151640,21743949,22346573,22961146,23589801,24234088,24894551,25570895
"Population, total",SP.POP.TOTL,Malawi,MWI,9437553,11376172,14271234,14714602,15167095,15627618,16097305,16577147,17068838,17573607,18091575,18622104
"Population, total",SP.POP.TOTL,Malaysia,MYS,18038321,23185608,27111069,27605383,28112289,28635128,29170456,29706724,30228017,30723155,31187265,31624264
"Population, total",SP.POP.TOTL,Maldives,MDV,223215,280384,345054,354501,364511,375131,386203,397397,408247,418403,427756,436330
"Population, total",SP.POP.TOTL,Mali,MLI,8465188,10967690,14138216,14606597,15075085,15540989,16006670,16477818,16962846,17467905,17994837,18541980
"Population, total",SP.POP.TOTL,Malta,MLT,354170,390087,409379,412477,414508,416268,420028,425967,434558,445053,455356,465292
"Population, total",SP.POP.TOTL,Marshall Islands,MHL,47298,52159,52218,52320,52425,52542,52663,52793,52898,52994,53066,53127
"Population, total",SP.POP.TOTL,Mauritania,MRT,2030140,2709359,3407541,3506288,3609543,3717672,3830239,3946170,4063920,4182341,4301018,4420184
"Population, total",SP.POP.TOTL,Mauritius,MUS,1058775,1186873,1244121,1247429,1250400,1252404,1255882,1258653,1260934,1262605,1263473,1264613
"Population, total",SP.POP.TOTL,Mexico,MEX,85357874,101719673,113661809,115505228,117318941,119090017,120828307,122535969,124221600,125890949,127540423,129163276
"Population, total",SP.POP.TOTL,"Micronesia, Fed. Sts.",FSM,96331,107432,104478,103960,103616,103468,103503,103702,104015,104433,104937,105544
"Population, total",SP.POP.TOTL,Moldova,MDA,3696000,3639592,3570108,3565604,3562045,3559986,3559519,3558566,3556397,3554108,3551954,3549750
"Population, total",SP.POP.TOTL,Monaco,MCO,29439,32082,35853,36534,37094,37497,37783,37971,38132,38307,38499,38695
"Population, total",SP.POP.TOTL,Mongolia,MNG,2184145,2397436,2628131,2668289,2712650,2761516,2814226,2869107,2923896,2976877,3027398,3075647
"Population, total",SP.POP.TOTL,Montenegro,MNE,606372,604950,616969,618294,619428,620079,620601,621207,621810,622159,622303,622471
"Population, total",SP.POP.TOTL,Morocco,MAR,24879136,28849621,31596855,31989897,32409639,32858823,33333789,33824769,34318082,34803322,35276786,35739580
"Population, total",SP.POP.TOTL,Mozambique,MOZ,13247649,18067687,22846758,23524063,24221405,24939005,25676606,26434372,27212382,28010691,28829476,29668834
"Population, total",SP.POP.TOTL,Myanmar,MMR,40626250,46095462,49479752,49800690,50155896,50553031,50986514,51448196,51924182,52403669,52885223,53370609
"Population, total",SP.POP.TOTL,Namibia,NAM,1414692,1899257,2106375,2137040,2173170,2215621,2263934,2316520,2370992,2425561,2479713,2533794
"Population, total",SP.POP.TOTL,Nauru,NRU,9155,10037,9947,9945,10025,10057,10279,10821,11853,12475,13049,13649
"Population, total",SP.POP.TOTL,Nepal,NPL,18749406,23740911,26475859,26741103,27023137,27327147,27649925,27985310,28323241,28656282,28982771,29304998
"Population, total",SP.POP.TOTL,Netherlands,NLD,14951510,15925513,16445593,16530388,16615394,16693074,16754962,16804432,16865008,16939923,17030314,17132854
"Population, total",SP.POP.TOTL,New Caledonia,NCL,170899,213230,242750,245950,249750,254350,259000,263650,268050,272400,276550,280460
"Population, total",SP.POP.TOTL,New Zealand,NZL,3329800,3857700,4259800,4302600,4350700,4384000,4408100,4442100,4509700,4595700,4693200,4793900
"Population, total",SP.POP.TOTL,Nicaragua,NIC,4144565,5026796,5594506,5666581,5737723,5807820,5877108,5945747,6013997,6082035,6149928,6217581
"Population, total",SP.POP.TOTL,Niger,NER,8012861,11352973,15228525,15813913,16425578,17064636,17731634,18426372,19148219,19896965,20672987,21477348
"Population, total",SP.POP.TOTL,Nigeria,NGA,95269988,122352009,150347390,154402181,158578261,162877076,167297284,171829303,176460502,181181744,185989640,190886311
"Population, total",SP.POP.TOTL,Northern Mariana Islands,MNP,42538,69094,57431,55674,54424,53786,53718,54036,54468,54816,55023,55144
"Population, total",SP.POP.TOTL,Norway,NOR,4241473,4490967,4768212,4828726,4889252,4953088,5018573,5079623,5137232,5190239,5234519,5282223
"Population, total",SP.POP.TOTL,Oman,OMN,1812160,2267991,2759014,2882942,3041460,3237268,3464644,3711481,3960925,4199810,4424762,4636262
"Population, total",SP.POP.TOTL,Pakistan,PAK,107678614,138523285,163644603,167049580,170560182,174184265,177911533,181712595,185546257,189380513,193203476,197015955
"Population, total",SP.POP.TOTL,Palau,PLW,15088,19175,20228,20342,20470,20599,20758,20920,21094,21288,21503,21729
"Population, total",SP.POP.TOTL,Panama,PAN,2471009,3030347,3516268,3579385,3643222,3707782,3772938,3838462,3903986,3969249,4034119,4098587
"Population, total",SP.POP.TOTL,Papua New Guinea,PNG,4313059,5572222,6787187,6947447,7108239,7269348,7430836,7592865,7755785,7919825,8084991,8251162
"Population, total",SP.POP.TOTL,Paraguay,PRY,4213742,5302700,6047117,6127837,6209877,6293783,6379219,6465740,6552584,6639119,6725308,6811297
"Population, total",SP.POP.TOTL,Peru,PER,21826658,25914879,28641980,29001507,29373646,29759989,30158966,30565716,30973354,31376671,31773839,32165485
"Population, total",SP.POP.TOTL,Philippines,PHL,61947348,77991569,90751864,92220879,93726624,95277940,96866642,98481032,100102249,101716359,103320222,104918090
"Population, total",SP.POP.TOTL,Poland,POL,38110782,38258629,38125759,38151603,38042794,38063255,38063164,38040196,38011735,37986412,37970087,37975841
"Population, total",SP.POP.TOTL,Portugal,PRT,9983218,10289898,10558177,10568247,10573100,10557560,10514844,10457295,10401062,10358076,10325452,10293718
"Population, total",SP.POP.TOTL,Puerto Rico,PRI,3537000,3810605,3760866,3740410,3721525,3678732,3634488,3593077,3534874,3473177,3406520,3337177
"Population, total",SP.POP.TOTL,Qatar,QAT,476445,592267,1389342,1590780,1779676,1952054,2109568,2250473,2374419,2481539,2569804,2639211
"Population, total",SP.POP.TOTL,Romania,ROU,23201835,22442971,20537875,20367487,20246871,20147528,20058035,19983693,19908979,19815481,19702332,19586539
"Population, total",SP.POP.TOTL,Russian Federation,RUS,148292000,146596557,142742350,142785342,142849449,142960868,143201676,143506911,143819666,144096870,144342396,144495044
"Population, total",SP.POP.TOTL,Rwanda,RWA,7235798,8025703,9708169,9977446,10246842,10516071,10788853,11065151,11345357,11629553,11917508,12208407
"Population, total",SP.POP.TOTL,Samoa,WSM,162866,174610,183526,184826,186205,187665,189194,190757,192290,193759,195125,196440
"Population, total",SP.POP.TOTL,San Marino,SMR,24043,27418,30351,30723,31110,31504,31914,32303,32657,32960,33203,33400
"Population, total",SP.POP.TOTL,Sao Tome and Principe,STP,113893,138606,166913,170813,174776,178800,182889,187045,191266,195553,199910,204327
"Population, total",SP.POP.TOTL,Saudi Arabia,SAU,16326815,20764312,25940770,26661492,27425676,28238020,29086357,29944476,30776722,31557144,32275687,32938213
"Population, total",SP.POP.TOTL,Senegal,SEN,7555617,9884052,12203957,12550917,12916229,13300910,13703513,14120320,14546111,14976994,15411614,15850567
"Population, total",SP.POP.TOTL,Serbia,SRB,7586000,7516346,7350222,7320807,7291436,7234099,7199077,7164132,7130576,7095383,7058322,7022268
"Population, total",SP.POP.TOTL,Seychelles,SYC,69507,81131,86956,87298,89770,87441,88303,89949,91359,93419,94677,95843
"Population, total",SP.POP.TOTL,Sierra Leone,SLE,4312246,4564297,6165372,6310260,6458720,6611692,6766103,6922079,7079162,7237025,7396190,7557212
"Population, total",SP.POP.TOTL,Singapore,SGP,3047132,4027887,4839396,4987573,5076732,5183688,5312437,5399162,5469724,5535002,5607283,5612253
"Population, total",SP.POP.TOTL,Sint Maarten (Dutch part),SXM,..,30519,33964,34238,34056,33435,34640,36607,37685,38824,39969,41109
"Population, total",SP.POP.TOTL,Slovak Republic,SVK,5299187,5388720,5379233,5386406,5391428,5398384,5407579,5413393,5418649,5423801,5430798,5439892
"Population, total",SP.POP.TOTL,Slovenia,SVN,1998161,1988925,2021316,2039669,2048583,2052843,2057159,2059953,2061980,2063531,2065042,2066748
"Population, total",SP.POP.TOTL,Solomon Islands,SLB,311840,412609,504477,516079,527790,539614,551531,563513,575504,587482,599419,611343
"Population, total",SP.POP.TOTL,Somalia,SOM,7397347,9011479,11369276,11707990,12053223,12404725,12763776,13132349,13513125,13908129,14317996,14742523
"Population, total",SP.POP.TOTL,South Africa,ZAF,37560525,45728315,50412129,50970818,51584663,52263516,52998213,53767396,54539571,55291225,56015473,56717156
"Population, total",SP.POP.TOTL,South Sudan,SSD,5768481,6700656,9263136,9670667,10067192,10448857,10818258,11177490,11530971,11882136,12230730,12575714
"Population, total",SP.POP.TOTL,Spain,ESP,38867322,40567864,45954106,46362946,46576897,46742697,46773055,46620045,46480882,46444832,46484062,46572028
"Population, total",SP.POP.TOTL,Sri Lanka,LKA,17329713,18781938,19945832,20075086,20198353,20315017,20425000,20585000,20771000,20966000,21203000,21444000
"Population, total",SP.POP.TOTL,St. Kitts and Nevis,KNA,40834,45374,50332,50886,51445,52006,52591,53169,53739,54288,54821,55345
"Population, total",SP.POP.TOTL,St. Lucia,LCA,138185,156949,169220,171022,172580,173832,174835,175660,176421,177206,178015,178844
"Population, total",SP.POP.TOTL,St. Martin (French part),MAF,30036,28384,29376,29820,30235,30615,30959,31264,31530,31754,31949,32125
"Population, total",SP.POP.TOTL,St. Vincent and the Grenadines,VCT,107505,107898,109165,109253,109315,109341,109328,109320,109357,109455,109643,109897
"Population, total",SP.POP.TOTL,Sudan,SDN,20147590,27250535,32955496,33650619,34385963,35167314,35990192,36849918,37737913,38647803,39578828,40533330
"Population, total",SP.POP.TOTL,Suriname,SUR,407472,472390,515148,520619,526103,531589,537077,542540,547928,553208,558368,563402
"Population, total",SP.POP.TOTL,Sweden,SWE,8558835,8872109,9219637,9298515,9378126,9449213,9519374,9600379,9696110,9799186,9923085,10067744
"Population, total",SP.POP.TOTL,Switzerland,CHE,6715519,7184250,7647675,7743831,7824909,7912398,7996861,8089346,8188649,8282396,8373338,8466017
"Population, total",SP.POP.TOTL,Syrian Arab Republic,SYR,12446171,16410848,20325443,20824893,21018834,20863993,20420701,19809141,19203090,18734987,18430453,18269868
